airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-06-27,Delhi,Cochin,05:15:00,07:40:00,1585,3,No Info,11543
Spicejet,2019-03-09,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,6300
Air India,2019-03-27,Delhi,Cochin,07:00:00,19:15:00,735,2,No Info,10913
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,21:05:00,1685,1,No Info,14151
Air India,2019-03-24,Banglore,New Delhi,21:10:00,23:55:00,165,0,No Info,4441
Spicejet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3597
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,19:00:00,450,1,In-flight meal not included,10262
Jet Airways,2019-05-06,Kolkata,Banglore,17:00:00,18:00:00,1500,1,No Info,11467
Jet Airways,2019-06-03,Delhi,Cochin,09:00:00,12:35:00,1655,1,In-flight meal not included,10262
Spicejet,2019-06-12,Kolkata,Banglore,11:35:00,18:50:00,435,1,No Info,8479
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,18:00:00,505,1,In-flight meal not included,13994
Spicejet,2019-04-06,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,3971
Spicejet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,20:45:00,1415,1,In-flight meal not included,10844
Air India,2019-06-24,Delhi,Cochin,12:00:00,19:15:00,435,2,No Info,9548
Jet Airways,2019-05-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
Jet Airways,2019-05-12,Banglore,Delhi,19:50:00,22:50:00,180,0,In-flight meal not included,3502
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,1615,2,No Info,15129
Multiple Carriers,2019-03-27,Delhi,Cochin,15:05:00,01:35:00,630,1,No Info,12327
Jet Airways,2019-05-24,Banglore,Delhi,07:10:00,10:10:00,180,0,No Info,7229
Air Asia,2019-06-24,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,3807
Multiple Carriers,2019-06-15,Delhi,Cochin,11:25:00,19:00:00,455,1,No Info,10877
Air India,2019-05-01,Kolkata,Banglore,10:00:00,05:25:00,1165,2,No Info,13899
Air India,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1,No Info,9719
Air India,2019-05-21,Kolkata,Banglore,09:50:00,23:15:00,805,3,No Info,14960
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0,No Info,7074
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,18:15:00,1265,1,In-flight meal not included,10844
Jet Airways,2019-06-27,Delhi,Cochin,16:00:00,19:00:00,1620,1,In-flight meal not included,10262
Jet Airways,2019-04-24,Banglore,Delhi,07:10:00,10:10:00,180,0,In-flight meal not included,6144
Jet Airways,2019-03-27,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,In-flight meal not included,1840
Indigo,2019-06-27,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,5894
Spicejet,2019-04-01,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3573
Air India,2019-05-06,Kolkata,Banglore,07:00:00,10:30:00,1650,3,No Info,13007
Indigo,2019-06-01,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Multiple Carriers,2019-05-21,Delhi,Cochin,17:00:00,01:30:00,510,1,No Info,7888
Air India,2019-03-03,Delhi,Cochin,05:55:00,07:40:00,1545,2,No Info,15428
Jet Airways,2019-06-15,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,8016
Vistara,2019-03-24,Banglore,New Delhi,19:40:00,22:20:00,160,0,No Info,4563
Jet Airways,2019-06-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,3210
Spicejet,2019-03-18,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,3384
Jet Airways,2019-05-01,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,7229
Jet Airways,2019-06-15,Delhi,Cochin,11:45:00,04:25:00,1000,2,No Info,13882
Jet Airways,2019-05-06,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,5198
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,04:25:00,1570,1,In-flight meal not included,11848
Air India,2019-03-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,4937
Jet Airways,2019-03-06,Banglore,New Delhi,19:55:00,22:35:00,160,0,No Info,18308
Indigo,2019-03-27,Delhi,Cochin,08:25:00,21:00:00,755,1,No Info,8285
Jet Airways,2019-06-09,Delhi,Cochin,15:00:00,19:00:00,1680,1,In-flight meal not included,10262
Jet Airways,2019-06-27,Delhi,Cochin,21:25:00,19:00:00,1295,2,No Info,13292
Indigo,2019-06-09,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4049
Jet Airways,2019-05-21,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No Info,8040
Air India,2019-05-01,Kolkata,Banglore,16:50:00,07:55:00,905,1,No Info,8366
Air India,2019-03-06,Delhi,Cochin,13:05:00,09:25:00,1220,2,No Info,12865
Indigo,2019-05-18,Delhi,Cochin,05:05:00,12:10:00,425,1,No Info,7520
Multiple Carriers,2019-06-12,Delhi,Cochin,07:30:00,19:15:00,705,1,No Info,7354
Air Asia,2019-03-03,Delhi,Cochin,16:45:00,22:15:00,330,1,No Info,13774
